Filename,ID,Date,Sampling,Tree,Tissue,Clean,Note,Dev.keyword
P825_101,P13,June-20-2011,3,I2,Phloem,yes,,
P825_102,P14,June-20-2011,3,M2,Phloem,yes,,
P825_103,P15,June-20-2011,3,O2,Phloem,yes,,
P825_104,P16,June-27-2011,4,J2,Phloem,yes,,
P825_105,P17,June-27-2011,4,K2,Phloem,yes,,
P825_106,P18,June-27-2011,4,L2,Phloem,yes,,
P825_107,P19,July-4-2011,5,M,Phloem,yes,,
P825_108,P20,July-4-2011,5,N,Phloem,yes,,
P825_109,P21,July-4-2011,5,O2,Phloem,yes,,
P825_110,P22,July-11-2011,6,C,Phloem,yes,,
P825_111,P23,July-11-2011,6,D,Phloem,yes,,
P825_112,P24,July-11-2011,6,P,Phloem,yes,,
P825_113,P25,July-18-2011,7,C2,Phloem,yes,,
P825_114,P26,July-18-2011,7,G2,Phloem,yes,,
P825_115,P27,July-18-2011,7,H2,Phloem,yes,,
P825_116,P28,July-25-2011,8,D2,Phloem,yes,,
P825_117,P29,July-25-2011,8,E2,Phloem,yes,,
P825_118,P30,July-25-2011,8,F2,Phloem,yes,,
P825_119,P31,August-1-2011,9,I,Phloem,yes,,
P825_120,P32,August-1-2011,9,Z,Phloem,yes,,
P825_121,P33,August-1-2011,9,F,Phloem,yes,,
P825_122,P34,August-8-2011,10,G,Phloem,yes,,
P825_123,P35,August-8-2011,10,S,Phloem,yes,,
P825_124,P36,August-8-2011,10,U,Phloem,yes,,
P825_125,P37,August-22-2011,11,V,Phloem,yes,,
P825_126,P38,August-22-2011,11,W,Phloem,yes,,
P825_127,P39,August-22-2011,11,X,Phloem,yes,,
P825_128,P40,September-6-2011,12,A2,Phloem,yes,,
P825_129,P41,September-6-2011,12,B2,Phloem,yes,,
P825_130,P42,September-6-2011,12,Y,Phloem,yes,,
P825_131,P43,September-20-2011,13,J,Phloem,yes,,
P825_132,P44,September-20-2011,13,K,Phloem,yes,,
P825_133,P45,September-20-2011,13,Q,Phloem,yes,,
P825_134,P46,October-17-2011,14,L,Phloem,yes,,
P825_135,P47,October-17-2011,14,M2,Phloem,yes,,
P825_136,P48,October-17-2011,14,O2,Phloem,yes,,
P825_137,P49,November-16-2011,15,I2,Phloem,yes,,
P825_138,P50,November-16-2011,15,J2,Phloem,no,Phloem may have xylem (small effect).,
P825_139,P51,November-16-2011,15,K2,Phloem,no,Phloem may have xylem (small effect).,
P825_140,P52,December-14-2011,16,L2,Phloem,no,Phloem may have xylem (small effect).,
P825_141,P53,December-14-2011,16,M,Phloem,no,Phloem may have xylem (small effect).,
P825_142,P54,December-14-2011,16,N,Phloem,no,Phloem may have xylem (small effect).,
P825_143,P55,January-23-2012,17,O,Phloem,no,Phloem may have xylem (small effect).,
P825_144,P56,January-23-2012,17,C,Phloem,no,Phloem may have xylem (small effect).,
P825_145,P57,January-23-2012,17,D,Phloem,no,Phloem may have xylem (small effect).,
P825_146,P58,February-21-2012,18,P,Phloem,no,Phloem may have xylem (small effect).,
P825_147,P60,February-21-2012,18,G2,Phloem,no,Phloem may have xylem (small effect).,
P825_148,P61,March-27-2012,19,D2,Phloem,no,Phloem may have xylem (small effect).,
P825_149,P62,March-27-2012,19,E2,Phloem,no,Phloem may have xylem (small effect).,
P825_150,P63,March-27-2012,19,H2,Phloem,no,Phloem may have xylem (small effect).,
P825_151,P64,April-24-2012,20,F2,Phloem,no,Phloem may have xylem (small effect).,
P825_152,P65,April-24-2012,20,I,Phloem,no,Phloem may have xylem (small effect).,
P825_153,P66,April-24-2012,20,Z,Phloem,no,Phloem may have xylem (small effect).,
P825_154,P67,May-2-2012,21,S,Phloem,no,Phloem may have xylem (small effect).,
P825_155,P68,May-2-2012,21,U,Phloem,no,Phloem may have xylem (small effect).,
P825_156,P69,May-2-2012,21,G,Phloem,no,Phloem may have xylem (small effect).,
P825_157,P70,May-11-2012,22,V,Phloem,no,Phloem may have xylem (small effect).,
P825_158,P71,May-11-2012,22,W,Phloem,no,Phloem may have xylem (small effect).,
P825_159,P72,May-11-2012,22,X,Phloem,no,Phloem may have xylem (small effect).,
P825_160,P73,May-16-2012,23,A2,Phloem,no,Phloem may have xylem (small effect).,
P825_161,P74,May-16-2012,23,B2,Phloem,no,Phloem may have xylem (small effect).,
P825_162,P75,May-16-2012,23,Y,Phloem,no,Phloem may have xylem (small effect).,
P1789_101,X7,June-7-2011,1,A2,Xylem,no,Xylem may contain cambium.,
P1789_102,X8,June-7-2011,1,B2,Xylem,no,Xylem may contain cambium.,
P1789_103,X9,June-7-2011,1,Q,Xylem,no,Xylem may contain cambium.,
P825_201,X10,June-13-2011,2,J,Xylem,no,Xylem may contain cambium.,DEW
P825_202,X11,June-13-2011,2,K,Xylem,yes,,DEW
P825_203,X12,June-13-2011,2,L,Xylem,no,Xylem may contain cambium.,DEW
P825_204,X13,June-20-2011,3,I2,Xylem,yes,,
P825_205,X14,June-20-2011,3,M2,Xylem,yes,,
P825_206,X15,June-20-2011,3,O2,Xylem,yes,,
P825_207,X16,June-27-2011,4,J2,Xylem,yes,,
P825_208,X17,June-27-2011,4,K2,Xylem,yes,,
P825_209,X18,June-27-2011,4,L2,Xylem,yes,,
P825_210,X19,July-4-2011,5,M,Xylem,yes,,
P825_211,X20,July-4-2011,5,N,Xylem,yes,,
P825_212,X21,July-4-2011,5,O,Xylem,yes,,
P825_213,X22,July-11-2011,6,C,Xylem,yes,,ALW
P825_214,X23,July-11-2011,6,D,Xylem,yes,,
P825_215,X24,July-11-2011,6,P,Xylem,yes,,ALW
P825_216,X25,July-18-2011,7,C2,Xylem,yes,,ALW
P825_217,X26,July-18-2011,7,G2,Xylem,yes,,ALW
P825_218,X27,July-18-2011,7,H2,Xylem,yes,,
P825_219,X28,July-25-2011,8,D2,Xylem,yes,,ALW
P825_220,X29,July-25-2011,8,E2,Xylem,yes,,
P825_221,X30,July-25-2011,8,F2,Xylem,yes,,ALW
P825_222,X31,August-1-2011,9,I,Xylem,yes,,ALW
P825_223,X32,August-1-2011,9,Z,Xylem,yes,,ALW
P825_224,X33,August-1-2011,9,F,Xylem,yes,,ALW
P825_225,X34,August-8-2011,10,G,Xylem,yes,,
P825_226,X35,August-8-2011,10,S,Xylem,yes,,
P825_228,X37,August-22-2011,11,V,Xylem,yes,,
P825_229,X38,August-22-2011,11,W,Xylem,yes,,
P825_230,X39,August-22-2011,11,X,Xylem,yes,,
P825_231,X40,September-6-2011,12,A2,Xylem,no,Xylem contaminated with cambium and even possibly with phloem.,
P825_232,X41,September-6-2011,12,B2,Xylem,no,Xylem contaminated with cambium and even possibly with phloem.,
P825_233,X42,September-6-2011,12,Y,Xylem,no,Xylem contaminated with cambium and even possibly with phloem.,
P825_234,X43,September-20-2011,13,J,Xylem,no,Xylem contaminated with cambium and even possibly with phloem.,
P825_236,X46,October-17-2011,14,L,Xylem,no,Xylem contaminated with cambium and even possibly with phloem.,
P825_237,X47,October-17-2011,14,M2,Xylem,no,Xylem contaminated with cambium and even possibly with phloem.,
P825_238,X48,October-17-2011,14,O2,Xylem,no,Xylem contaminated with cambium and even possibly with phloem.,
P825_239,X49,November-16-2011,15,I2,Xylem,no,Xylem contaminated with cambium and even possibly with phloem.,
P825_240,X50,November-16-2011,15,J2,Xylem,yes,,
P825_241,X51,November-16-2011,15,K2,Xylem,yes,,
P825_242,X52,December-14-2011,16,L2,Xylem,yes,,
P825_243,X53,December-14-2011,16,M,Xylem,yes,,
P825_244,X54,December-14-2011,16,N,Xylem,yes,,
P825_245,X55,January-23-2012,17,O,Xylem,yes,,
P825_246,X56,January-23-2012,17,C,Xylem,yes,,
P825_247,X57,January-23-2012,17,D,Xylem,yes,,
P825_248,X58,February-21-2012,18,P,Xylem,yes,,
P825_249,X59,February-21-2012,18,C2,Xylem,yes,,
P825_250,X60,February-21-2012,18,G2,Xylem,yes,,
P825_251,X61,March-27-2012,19,D2,Xylem,yes,,
P825_252,X62,March-27-2012,19,E2,Xylem,yes,,
P825_253,X63,March-27-2012,19,H2,Xylem,yes,,
P825_254,X64,April-24-2012,20,F2,Xylem,yes,,
P825_255,X65,April-24-2012,20,I,Xylem,yes,,
P825_256,X66,April-24-2012,20,Z,Xylem,yes,,
P825_257,X67,May-2-2012,21,S,Xylem,yes,,
P825_258,X68,May-2-2012,21,U,Xylem,yes,,
P825_259,X69,May-2-2012,21,G,Xylem,yes,,
P825_260,X70,May-11-2012,22,V,Xylem,yes,,
P825_261,X71,May-11-2012,22,W,Xylem,yes,,
P825_262,X72,May-11-2012,22,X,Xylem,yes,,
P825_263,X73,May-16-2012,23,A2,Xylem,yes,,
P825_264,X74,May-16-2012,23,B2,Xylem,yes,,
